time_sec,raw_pulse,standardized_pulse,participant
45.59770114942529,18.9,-2.1330481274235993,gs1
45.60919540229885,16.6,-2.4940935884021695,gs1
45.62068965517241,15.3,-2.6981627619987534,gs1
45.632183908045974,15.0,-2.7452556482133494,gs1
45.64367816091954,16.2,-2.5568841033549647,gs1
45.6551724137931,18.1,-2.2586291573291883,gs1
45.666666666666664,20.5,-1.8818860676124192,gs1
45.67816091954023,23.7,-1.3795619479900596,gs1
45.689655172413794,26.9,-0.8772378283677003,gs1
45.701149425287355,30.0,-0.39061133748353927,gs1
45.71264367816092,33.0,0.0803175246624228,gs1
45.724137931034484,35.7,0.504153500593789,gs1
45.735632183908045,37.5,0.7867108178813659,gs1
45.747126436781606,38.8,0.990779991477949,gs1
45.758620689655174,39.4,1.0849657639071417,gs1
45.770114942528735,39.3,1.0692681351689426,gs1
45.7816091954023,38.5,0.9436871052633532,gs1
45.793103448275865,37.3,0.755315560404968,gs1
45.804597701149426,35.6,0.48845587185559014,gs1
45.81609195402299,34.0,0.23729381204441016,gs1
45.827586206896555,32.2,-0.04526350524316664,gs1
45.839080459770116,30.4,-0.32782082253074457,gs1
45.85057471264368,28.6,-0.6103781398183213,gs1
45.86206896551724,27.2,-0.830144942153104,gs1
45.87356321839081,26.1,-1.0028188582732898,gs1
45.88505747126437,25.1,-1.159795145655277,gs1
45.89655172413793,24.6,-1.2382832893462707,gs1
45.9080459770115,24.5,-1.2539809180844697,gs1
45.91954022988506,24.3,-1.285376175560867,gs1
45.93103448275862,24.6,-1.2382832893462707,gs1
45.94252873563219,25.0,-1.175492774393476,gs1
45.95402298850575,25.4,-1.1127022594406812,gs1
45.96551724137931,25.9,-1.0342141157496876,gs1
45.97701149425287,26.6,-0.9243307145822961,gs1
45.98850574712644,26.8,-0.8929354571058987,gs1
46.0,27.5,-0.7830520559385077,gs1
46.01149425287356,28.2,-0.6731686547711166,gs1
46.02298850574713,28.7,-0.594680511080123,gs1
46.03448275862069,29.1,-0.5318899961273277,gs1
46.04597701149425,29.5,-0.46909948117453293,gs1
46.05747126436781,30.0,-0.39061133748353927,gs1
46.06896551724138,30.2,-0.3592160800071419,gs1
46.08045977011494,30.6,-0.29642556505434664,gs1
46.0919540229885,30.6,-0.29642556505434664,gs1
46.10344827586207,30.8,-0.26503030757794926,gs1
46.11494252873563,30.7,-0.28072793631614823,gs1
46.12643678160919,30.6,-0.29642556505434664,gs1
46.13793103448276,30.3,-0.3435184512689429,gs1
46.14942528735632,30.2,-0.3592160800071419,gs1
46.160919540229884,30.5,-0.3121231937925456,gs1
46.172413793103445,31.6,-0.13944927767235926,gs1
46.18390804597701,34.0,0.23729381204441016,gs1
46.195402298850574,38.0,0.8651989615723595,gs1
46.206896551724135,43.1,1.6657780272204954,gs1
46.2183908045977,48.7,2.544845236559625,gs1
46.229885057471265,54.4,3.439610074636952,gs1
46.241379310344826,55.4,3.596586362018939,gs1
46.252873563218394,55.5,3.6122839907571382,gs1
46.264367816091955,55.5,3.6122839907571382,gs1
46.275862068965516,55.5,3.6122839907571382,gs1
46.28735632183908,55.4,3.596586362018939,gs1
46.298850574712645,55.5,3.6122839907571382,gs1
46.310344827586206,53.8,3.345424302207759,gs1
46.32183908045977,47.7,2.3878689491776375,gs1
46.333333333333336,40.9,1.3204301949801227,gs1
46.3448275862069,34.5,0.31578195573540385,gs1
46.35632183908046,28.6,-0.6103781398183213,gs1
46.367816091954026,23.5,-1.410957205466457,gs1
46.37931034482759,19.6,-2.0231647262562076,gs1
46.39080459770115,16.7,-2.4783959596639713,gs1
46.40229885057471,15.2,-2.713860390736952,gs1
46.41379310344828,14.5,-2.8237437919043433,gs1
46.42528735632184,15.0,-2.7452556482133494,gs1
46.4367816091954,16.5,-2.5097912171403687,gs1
46.44827586206897,18.6,-2.180141013638195,gs1
46.45977011494253,21.4,-1.7406074089686308,gs1
46.47126436781609,24.4,-1.2696785468226686,gs1
46.48275862068966,27.6,-0.7673544272003087,gs1
46.49425287356322,30.8,-0.26503030757794926,gs1
46.50574712643678,33.6,0.17450329709161544,gs1
46.51724137931034,35.9,0.5355487580701859,gs1
46.52873563218391,37.5,0.7867108178813659,gs1
46.54022988505747,38.4,0.9279894765251543,gs1
46.55172413793103,38.6,0.9593847340015522,gs1
46.5632183908046,38.3,0.9122918477869554,gs1
46.57471264367816,37.2,0.7396179316667701,gs1
46.58620689655172,35.7,0.504153500593789,gs1
46.59770114942529,34.2,0.26868906952080807,gs1
46.60919540229885,32.3,-0.029565876504968797,gs1
46.62068965517241,30.4,-0.32782082253074457,gs1
46.632183908045974,28.5,-0.6260757685565203,gs1
46.64367816091954,27.0,-0.8615401996295013,gs1
46.6551724137931,25.6,-1.0813070019642834,gs1
46.666666666666664,24.7,-1.2225856606080723,gs1
46.67816091954023,24.0,-1.3324690617754633,gs1
46.689655172413794,23.6,-1.395259576728258,gs1
46.701149425287355,23.6,-1.395259576728258,gs1
46.71264367816092,23.7,-1.3795619479900596,gs1
46.724137931034484,24.1,-1.3167714330372644,gs1
46.735632183908045,24.6,-1.2382832893462707,gs1
46.747126436781606,25.2,-1.1440975169170786,gs1
46.758620689655174,25.8,-1.049911744487886,gs1
46.770114942528735,26.4,-0.9557259720586939,gs1
46.7816091954023,26.9,-0.8772378283677003,gs1
46.793103448275865,27.5,-0.7830520559385077,gs1
46.804597701149426,28.0,-0.704563912247514,gs1
46.81609195402299,28.7,-0.594680511080123,gs1
46.827586206896555,29.1,-0.5318899961273277,gs1
46.839080459770116,29.5,-0.46909948117453293,gs1
46.85057471264368,29.7,-0.4377042236981356,gs1
46.86206896551724,30.2,-0.3592160800071419,gs1
46.87356321839081,30.5,-0.3121231937925456,gs1
46.88505747126437,30.5,-0.3121231937925456,gs1
46.89655172413793,30.6,-0.29642556505434664,gs1
46.9080459770115,30.4,-0.32782082253074457,gs1
46.91954022988506,30.2,-0.3592160800071419,gs1
46.93103448275862,30.1,-0.3749137087453403,gs1
46.94252873563219,30.2,-0.3592160800071419,gs1
46.95402298850575,30.7,-0.28072793631614823,gs1
46.96551724137931,32.3,-0.029565876504968797,gs1
46.97701149425287,35.3,0.44136298564099324,gs1
46.98850574712644,39.7,1.1320586501217385,gs1
47.0,45.2,1.995428230722669,gs1
47.01149425287356,51.0,2.905890697538195,gs1
47.02298850574713,55.5,3.6122839907571382,gs1
47.03448275862069,55.4,3.596586362018939,gs1
47.04597701149425,55.4,3.596586362018939,gs1
47.05747126436781,55.4,3.596586362018939,gs1
47.06896551724138,55.4,3.596586362018939,gs1
47.08045977011494,55.4,3.596586362018939,gs1
47.0919540229885,55.4,3.596586362018939,gs1
47.10344827586207,51.3,2.952983583752791,gs1
47.11494252873563,45.0,1.9640329732462711,gs1
47.12643678160919,38.6,0.9593847340015522,gs1
47.13793103448276,32.5,0.0018293809714291201,gs1
47.14942528735632,27.1,-0.8458425708913023,gs1
47.160919540229884,22.6,-1.5522358641102454,gs1
47.172413793103445,19.3,-2.0702576124708036,gs1
47.18390804597701,17.3,-2.3842101872347787,gs1
47.195402298850574,16.2,-2.5568841033549647,gs1
47.206896551724135,15.8,-2.6196746183077595,gs1
47.2183908045977,16.8,-2.462698330925772,gs1
47.229885057471265,18.3,-2.2272338998527914,gs1
47.241379310344826,20.6,-1.8661884388742203,gs1
47.252873563218394,23.1,-1.4737477204192517,gs1
47.264367816091955,26.1,-1.0028188582732898,gs1
47.275862068965516,28.9,-0.5632852536037256,gs1
47.28735632183908,31.6,-0.13944927767235926,gs1
47.298850574712645,34.0,0.23729381204441016,gs1
47.310344827586206,35.9,0.5355487580701859,gs1
47.32183908045977,37.3,0.755315560404968,gs1
47.333333333333336,37.9,0.8495013328341606,gs1
47.3448275862069,37.9,0.8495013328341606,gs1
